
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-04-09 12:15:56 /authors ................................... ~ 500.52ms
  2026-04-09 12:16:22 / ............................................ ~ 0.16ms
  2026-04-09 12:17:25 /api/authors ................................. ~ 0.30ms
  2026-04-09 12:21:06 /api/authors ................................. ~ 0.18ms
  2026-04-09 12:21:37 /api/posts ................................... ~ 0.16ms
  2026-04-09 12:22:04 /api/authors ................................. ~ 0.23ms
  2026-04-09 12:23:24 /authors ................................... ~ 500.53ms
  2026-04-09 12:23:50 /authors ................................... ~ 500.64ms
  2026-04-09 12:25:50 /api/authors ................................. ~ 0.18ms
  2026-04-09 12:41:16 / ............................................ ~ 0.22ms
  2026-04-09 12:46:16 / .......................................... ~ 500.51ms
  2026-04-09 12:47:23 /api/authors ................................. ~ 0.22ms
  2026-04-09 12:50:38 / .......................................... ~ 500.63ms
  2026-04-09 12:59:20 /authors ................................... ~ 500.59ms
  2026-04-09 13:01:32 /api/authors ................................. ~ 0.39ms
  2026-04-09 13:05:09 / ............................................ ~ 0.23ms
  2026-04-09 13:05:49 / .......................................... ~ 500.58ms
  2026-04-09 13:12:57 / ............................................ ~ 0.23ms
  2026-04-09 13:16:31 / .......................................... ~ 500.70ms
  2026-04-09 13:17:12 / ............................................ ~ 0.19ms
  2026-04-09 13:22:15 /api/authors ................................. ~ 0.25ms
  2026-04-09 13:24:47 / .......................................... ~ 500.60ms
  2026-04-09 13:27:23 / .......................................... ~ 500.48ms
  2026-04-09 13:28:45 / .......................................... ~ 500.48ms
  2026-04-09 13:30:26 /some/path ................................. ~ 500.67ms
